date,equity,cash,positions,drawdown,returns
2024-09-05,975494.6096600002,935241.6096600002,3,-0.07342216746395634,-2.935860320085748e-05
2024-09-06,976038.1476600002,923755.1396600002,3,-0.07290588551123846,0.0005571922126659246
2024-09-09,975690.2756600003,924332.2756600003,3,-0.07323631325585951,-0.00035641229887783954
2024-09-10,974832.2756600003,924332.2756600003,3,-0.07405128831819535,-0.0008793774227375817
2024-09-11,974587.2756600003,924332.2756600003,3,-0.07428400264252201,-0.0002513252855053105
2024-09-12,974302.2756600003,924332.2756600003,3,-0.07455471114224894,-0.00029243148060498214
2024-09-13,974114.2756600003,924332.2756600003,3,-0.07473328376663023,-0.00019295859683032823
2024-09-18,973909.2756600003,924332.2756600003,3,-0.07492800391555662,-0.00021044758825761178
2024-09-19,974845.2756600003,924332.2756600003,3,-0.07403894021119026,0.0009610751467232781
2024-09-20,974550.9356600003,915078.0356600003,3,-0.07431852035087314,-0.0003019350940596244
2024-09-23,974518.7656600003,914917.7656600003,3,-0.07434907716643883,-3.301007553624391e-05
2024-09-24,976229.0346600004,888150.0346600004,5,-0.07272457065724756,0.001754988267303137
2024-09-25,977207.0156600003,862095.0156600003,6,-0.07179563111594432,0.0010017946253160215
2024-09-26,978213.0156600003,862095.0156600003,6,-0.07084007760462749,0.0010294645698185612
2024-09-27,981838.0156600003,862095.0156600003,6,-0.06739685545897785,0.003705736830289741
2024-09-30,997947.3400600003,862095.0156600003,6,-0.05209534303814084,0.01640731377585869
2024-10-08,1001450.9661400001,900580.6400600002,5,-0.04876740844262882,0.0035108326254862376
2024-10-09,995664.3195400003,918966.5811400003,5,-0.054263880090123354,-0.0057782625367110985
2024-10-10,996290.7337200003,926828.0555400002,5,-0.053668877834419954,0.0006291419384087948
2024-10-11,996168.8126400003,906480.8237200002,5,-0.05378468510688272,-0.0001223750014665015
2024-10-14,998326.7019000002,931136.5976400003,5,-0.05173500453091268,0.002166188333362129
2024-10-15,998839.4419000002,934243.2319000002,5,-0.051247976193544306,0.0005135994049083603
2024-10-16,997570.1887000003,919495.5039000002,5,-0.05245358191124814,-0.0012707279536193772
2024-10-17,997353.7827000003,912215.9927000003,5,-0.05265913609928988,-0.00021693310651349496
2024-10-18,999952.5185800003,901055.8487000003,5,-0.05019071542819745,0.0026056309456858884
2024-10-21,1002251.8581800003,904239.5185800003,5,-0.04800667762651761,0.0022994487810934494
2024-10-22,1001775.1809800003,907358.4581800003,5,-0.0484594515551704,-0.00047560620228292994
2024-10-23,1004718.3849800003,913779.1809800003,5,-0.04566383632980084,0.0029379885386267013
2024-10-24,1006258.6505800004,917714.2849800003,5,-0.04420080829556568,0.0015330321640631972
2024-10-25,1008694.2505800003,928519.8105800004,5,-0.04188734295544315,0.002420451241433863
2024-10-28,1011196.9835800005,928519.8105800004,5,-0.03951011104089182,0.0024811611631185837
2024-10-29,1008409.2435800002,934456.4035800004,5,-0.042158058104150874,-0.0027568713566872294
2024-10-30,1009064.1497800004,926287.2475800004,5,-0.041535992578312544,0.0006494448599807523
2024-10-31,1010523.2997800005,932857.1397800004,5,-0.04015001255242986,0.001446042851010132
2024-11-01,1007225.8029800004,932857.1397800004,5,-0.04328215434745581,-0.003263157614196488
2024-11-04,1007551.2742200005,927287.9589800005,5,-0.042973004062948114,0.000323136320611761
2024-11-05,1010718.2042200004,947015.7842200005,5,-0.039964881715438605,0.003143194873582722
2024-11-06,1010549.0542200004,947015.7842200005,5,-0.04012554958466253,-0.00016735624162478313
2024-11-07,1012810.7742200006,947015.7842200005,5,-0.03797724492500476,0.0022381100556725375
2024-11-08,1012620.5219800004,940203.9842200004,5,-0.03815795684942629,-0.0001878457899963104
2024-11-11,1015725.9719800004,942670.1519800004,5,-0.03520823154950699,0.003066746063893566
2024-11-12,1014589.9419800005,947739.9819800004,5,-0.03628729462650617,-0.0011184414215434924
2024-11-13,1014625.5803000003,931968.2309800003,5,-0.03625344341198009,3.512583608933362e-05
2024-11-14,1011180.4366400003,921200.9513000003,5,-0.0395258282244094,-0.0033954827543193344
2024-11-15,1009528.1511400003,937390.8266400003,5,-0.041095258851867544,-0.0016340164822514769
2024-11-18,1005385.5211400003,942188.9511400004,4,-0.04503015412282825,-0.004103530937024424
2024-11-19,1006728.1211400003,959115.0211400003,4,-0.04375487962551815,0.001335408131278415
2024-11-20,1007757.9967200003,948251.1731400003,5,-0.04277664778984374,0.001022992760780106
2024-11-21,1006694.9978000005,902335.2427200004,5,-0.04378634197526304,-0.0010548156635418193
2024-11-22,1003193.0038000005,882093.0038000005,5,-0.047112726332430487,-0.003478704083812012
2024-11-25,1007630.0038000005,882093.0038000005,5,-0.04289822242615533,0.0044228777345864945
